Users;Department;Position;Local admin privileges;Domain admin privileges;Service admin;Development and admin tools available;OS;AV protection;Posession of data on security and administration;Key business role;Internet access;Confidential information;Science and technology information;Production info;Management info;Financial info;Market info;Price info;Partner info;Security management info;Personal data;ÄÑÏ (rus);24 x 7 working hours;High performance applications;Interactions with external IS;Electronic eternal information exchange;Initial qualification;Number of projects;Project 6;Project 21;Project 27;Project 33;Project 41;Project 44;Project 46;Project 47;Project 49;Project 60
User 132;Department 47;Position 252;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 133;Department 40;Position 60;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 134;Department 48;Position 236;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 135;Department 48;Position 236;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 136;Department 48;Position 103;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 137;Department 48;Position 103;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 138;Department 32;Position 105;0;0;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 139;Department 32;Position 105;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;28;0;1;1;0;0;0;0;0;0;0
User 140;Department 47;Position 212;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 141;Department 48;Position 102;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 142;Department 12;Position 85;1;1;0;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 143;Department 24;Position 208;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 144;Department 32;Position 109;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;28;0;1;1;0;0;0;0;0;0;0
User 145;Department 22;Position 9;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 146;Department 13;Position 132;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 147;Department 47;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 148;Department 14;Position 70;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 149;Department 32;Position 237;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;28;0;1;1;0;0;0;0;0;0;0
User 150;Department 39;Position 84;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 151;Department 31;Position 208;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;user;3;0;1;0;0;0;0;0;0;0;0
User 152;Department 22;Position 128;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 153;Department 3;Position 32;0;0;0;0;1;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;1;0;1;1;user;0;0;0;0;0;0;0;0;0;0;0
User 154;Department 48;Position 129;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 155;Department 48;Position 123;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 156;Department 50;Position 101;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 157;Department 33;Position 186;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 158;Department 11;Position 3;1;0;0;1;1;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;programmer;1;0;0;0;0;0;0;1;0;0;0
User 159;Department 22;Position 9;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 160;Department 45;Position 15;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 161;Department 46;Position 112;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;3;1;0;0;0;0;0;0;0;0;0
User 162;Department 39;Position 11;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 163;Department 48;Position 223;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 164;Department 19;Position 33;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 165;Department 49;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 166;Department 13;Position 85;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 167;Department 13;Position 85;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 168;Department 9;Position 114;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 169;Department 47;Position 216;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 170;Department 15;Position 63;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 171;Department 15;Position 63;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 172;Department 37;Position 120;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 173;Department 50;Position 158;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 174;Department 40;Position 124;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 175;Department 29;Position 35;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 176;Department 23;Position 81;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 177;Department 5;Position 31;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 178;Department 48;Position 147;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 179;Department 48;Position 150;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 180;Department 48;Position 147;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 181;Department 48;Position 146;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 182;Department 47;Position 242;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 183;Department 32;Position 208;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;programmer;4;0;0;0;0;0;0;0;0;0;0
User 184;Department 49;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 185;Department 47;Position 212;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 186;Department 30;Position 239;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;8;0;0;0;0;0;0;0;0;0;0
User 187;Department 45;Position 116;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 188;Department 50;Position 223;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 189;Department 33;Position 208;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 190;Department 49;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 191;Department 22;Position 246;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 192;Department 49;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 193;Department 19;Position 18;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 194;Department 22;Position 86;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 195;Department 28;Position 56;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 196;Department 35;Position 238;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;2;0;0;0;1;0;0;;0;0;0
User 197;Department 27;Position 117;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 198;Department 22;Position 86;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 199;Department 21;Position 144;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 200;Department 45;Position 114;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 201;Department 46;Position 111;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 202;Department 40;Position 126;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 203;Department 28;Position 185;0;0;0;0;1;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 204;Department 3;Position 6;0;0;0;0;1;1;0;0;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 205;Department 48;Position 157;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 206;Department 48;Position 101;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 207;Department 34;Position 12;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 208;Department 13;Position 132;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 209;Department 45;Position 15;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 210;Department 27;Position 145;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 211;Department 50;Position 101;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 212;Department 48;Position 138;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 213;Department 50;Position 148;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 214;Department 33;Position 66;0;0;0;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;2;0;0;1;0;0;0;0;0;0;0
User 215;Department 23;Position 143;0;0;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 216;Department 43;Position 9;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 217;Department 19;Position 50;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 218;Department 33;Position 199;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 219;Department 48;Position 59;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 220;Department 13;Position 142;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 221;Department 45;Position 15;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 222;Department 41;Position 232;0;0;0;0;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;user;0;0;0;0;0;0;0;0;0;0;0
User 223;Department 32;Position 12;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;28;0;1;1;0;0;0;0;0;0;0
User 224;Department 47;Position 218;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 225;Department 47;Position 189;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 226;Department 47;Position 187;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 227;Department 37;Position 119;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 228;Department 47;Position 133;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 229;Department 48;Position 103;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 230;Department 48;Position 149;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 231;Department 22;Position 194;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 232;Department 47;Position 218;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 233;Department 49;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 234;Department 1;Position 229;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 235;Department 47;Position 218;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 236;Department 48;Position 147;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 237;Department 49;Position 164;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 238;Department 49;Position 165;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 239;Department 40;Position 126;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 240;Department 4;Position 180;0;0;0;0;1;1;0;0;1;1;0;1;1;0;1;0;1;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 241;Department 48;Position 103;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 242;Department 14;Position 226;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 243;Department 48;Position 149;1;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 244;Department 15;Position 18;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 245;Department 49;Position 165;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 246;Department 22;Position 37;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 247;Department 48;Position 222;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 248;Department 48;Position 129;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 249;Department 48;Position 59;1;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;0;0;0;0;0;0;0;0;0;0;0
User 250;Department 46;Position 111;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;3;1;0;0;0;0;0;0;0;0;0
User 251;Department 1;Position 1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 252;Department 13;Position 91;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
User 253;Department 14;Position 226;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 254;Department 14;Position 226;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 255;Department 45;Position 15;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;4;0;0;1;0;0;0;0;1;1;0
User 256;Department 22;Position 1;0;0;0;0;1;1;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 257;Department 47;Position 218;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 258;Department 31;Position 105;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;5;0;1;0;0;0;0;0;0;1;0
User 259;Department 30;Position 13;0;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;programmer;8;0;0;0;0;0;0;0;0;0;0
User 260;Department 3;Position 235;0;0;0;0;1;1;0;1;1;1;0;0;0;1;1;1;1;0;1;0;1;0;1;0;user;0;0;0;0;0;0;0;0;0;0;0
User 261;Department 50;Position 148;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 262;Department 47;Position 165;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 263;Department 37;Position 241;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 264;Department 35;Position 9;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;3;1;0;0;0;0;0;0;0;0;0
User 265;Department 47;Position 165;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 266;Department 39;Position 9;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;user;0;0;0;0;0;0;0;0;0;0;0
User 267;Department 13;Position 48;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;user;0;0;0;0;0;0;0;0;0;0;0
